name,primary_role,facebook_url,linkedin_url,city_name,region_name,country_code,short_description
Com6 Interactive,company,https://www.facebook.com/com6interactivetoulouse/,https://www.linkedin.com/company/com6-interactive,Launaguet,Midi-Pyrenees,France,Com6 Interactive is a digital communication agency.
Bubo.AI,company,,https://www.linkedin.com/company/bubo-ai/,Middlesborough,Middlesbrough,United Kingdom,Bubo.AI is a provider of a price optimisation platform.
Robin,company,,https://www.linkedin.com/company/robinbank.co/,Monterrey,Nuevo Leon,Mexico,Robin is a virtual school with courses for curious children to learn to create their own video games.
Meilleurtaux.com,company,https://www.facebook.com/meilleurtaux,https://www.linkedin.com/company/104453/,Paris,Ile-de-France,France,Meilleurtaux.com is a provider of advisory and brokerage services to individuals searching for real estate loans.
Happy Day Brands,company,https://www.facebook.com/pg/happydaybrands/about/?ref=page_internal,,Boise,Idaho,United States,"Happy Day Brands is an innovative social business that produces organic coffee, chocolate & superfood& that transform lives."
b-process,company,,,Paris,Ile-de-France,France,b-process offer solutions to do tax compliant e-invoicing and to process the financial flows generated by the business partners.
Phone Warrior,company,http://www.facebook.com/Phonewarrior,,New Delhi,Delhi,India,Phone Warrior is a Delhi-based startup offering an application that blocks spam calls and text messages.
ArrowPass,company,,,San Francisco,California,United States,ArrowPass is an NFC-based secure gate control and cashless closed-loop payment solution for events.
Eido Innova,company,https://www.facebook.com/eidoinnova,,Brownsville,Texas,United States,Eido Innova is a developer of a glucose measurement device for diabetic patients.
Open Vision,company,https://www.facebook.com/openvision/,,Moscow,Moscow City,Russian Federation,System integrator - provides a full range of services and turnkey solutions in the field of system integration in Moscow
Humanitrack,company,https://www.facebook.com/humanitrack/,https://www.linkedin.com/company/humanitrack/,Copenhagen,Hovedstaden,Denmark,"Volunteer platform creating open-source knowledge bases of tech battling global challenges like COVID-19, Cancer, and the Climate Crisis."
Dook Book,company,,,Shanghai,Shanghai,China,Dook Book is a book publisher that also offers digital media and film operations.
Dial Once,company,https://www.facebook.com/Dial-Once-354640564690764,https://www.linkedin.com/company/dial-once,Paris,Ile-de-France,France,Dial Once is a developer of a Visual IVR technology designed for companies to improve customer journeys through all communication channels.
Metalla Royalty & Streaming,company,,https://www.linkedin.com/company/metalla-royalty-and-streaming-ltd./,Vancouver,Alberta,Canada,Metalla Royalty & Streaming generates leveraged precious metal exposure by acquiring royalties and streams.
Vamstar,company,,https://www.linkedin.com/company/vamstar,London,England,United Kingdom,We use AI for accelerating commercialisation in healthcare
Aochuang Asset Management,investor,,,Hangzhou,Zhejiang,China,Aochuang Asset Management is a management consulting company engaged in asset management.
Ruihe Zichan,investor,,,Shanghai,Shanghai,China,"Ruihe Zichan engaged in asset management, investment management and investment consulting."
Launchmetrics,company,https://www.facebook.com/launchmetrics/,https://www.linkedin.com/company/launchmetrics,New York,New York,United States,Launchmetrics is a provider of social influencer data and insights technology intended to connect the industry through technology.
TotalABA,company,https://www.facebook.com/InviscidSoftware/?fref=ts,https://www.linkedin.com/company/inviscid-software,Temecula,California,United States,TotalABA – ABA Therapy Software.
Redemption Roasters,company,https://www.facebook.com/redemptionroasters/?ref=br_tf,https://in.linkedin.com/company/redemption-roasters,London,England,United Kingdom,Redemption Roasters is a specialty coffee company.
BionicGym,company,https://www.facebook.com/BionicGym4u/,https://www.linkedin.com/company/bionicgym/,Dublin,Dublin,Ireland,BionicGym is one of the best fitness machines.
"Medsbyme is a healthcare startup that specializes in the fields of healthcare, and pharmacy.",company,,,New York,New York,United States,A Health Care  Startup.
Salibar,company,,https://www.linkedin.com/company/salibar/,Chihuahua,Chihuahua,Mexico,Salibar is an easy-to-use test created to detect bovine pregnancy in saliva samples.
BurgieLaw,company,https://www.facebook.com/burgielaw,https://www.linkedin.com/company/burgielaw,Kuala Lumpur,Kuala Lumpur,Malaysia,BurgieLaw is an online legal marketplace in Malaysia for people to search and book an appointment with the right lawyer.
WhyFly,company,https://www.facebook.com/whyflywilmington,https://www.linkedin.com/company/whyfly/,Wilmington,Delaware,United States,WhyFly is an internet provider based in Wilmington.
Midwest Express Airlines,company,,https://www.linkedin.com/company/midwest-express-airlines/,Brookfield,Wisconsin,United States,Midwest Express Airlines is an airline and aviation company that specializes in providing airline services and airline business travel.
Ht4u,company,,https://www.linkedin.com/company/ht4u/,,,,New products daily news from the IT world and provides important background knowledge to understand connections.
Buscamed,company,https://www.facebook.com/buscaamed/,https://www.linkedin.com/company/buscamed/,Chihuahua,Chihuahua,Mexico,BuscaMed is a search engine for medicine where users can compare prices and check availability in pharmacies.
TusMaker Global Network,company,,,Kwun Tong,Kowloon,Hong Kong,TusMaker Global Network is an international entrepreneurial innovation and investment service platform.
Enjoius,company,https://www.facebook.com/enjoius/,https://www.linkedin.com/company/enjoius-inc/,Los Angeles,California,United States,"Enjoius is a lifestyle platform dedicated to entertaining and celebrating. 
"
ProGel,company,,,Brisbane,Queensland,Australia,Progel Pty Ltd was formed in 2009 to commercialise a new microencapsulation technology.
SmartFin Ventures,investor,,,Brussels,Brussels Hoofdstedelijk Gewest,Belgium,SmartFin Ventures is an early stage venture capital fund that invests across Europe.
Think Outside,company,,https://www.linkedin.com/company/think-outside-as/,Bergen,Hordaland,Norway,Think Outside is a technology start-up company developing innovative products for the sport and outdoor markets. 
Tech valley,company,,,Xiamen,Fujian,China,Tech Valley focuses on the big data technology and application service.
DESIGN MARKET,company,https://www.facebook.com/mydesignmkt,,Boulogne-billancourt,Ile-de-France,France,DESIGN MARKET is a  Marketplace for Mid Century Modern Furniture.
Bux Global,company,,,Perth,Western Australia,Australia,Bux Global is an app promising cheap international money transfers has been put into liquidation
Guardian Storage,company,https://www.facebook.com/GuardianStorage/,https://www.linkedin.com/company/guardian-storage-solutions/,Pittsburgh,Pennsylvania,United States,Guardian Storage is a real estate company that provides self storage services to help people store necessary goods.
Clap Global,company,,,Mumbai,Maharashtra,India,Clap Global is a platform that enables a unique exchange of cultures by helping international travellers
Kidz Korner,company,,,,,,"Toy Store In Bartlesville, OK"
Tacitus Therapeutics,company,,,New York,New York,United States,Tacitus Therapeutics is a clinical-stage biotechnology company that develops therapeutics for the treatment of blood cancers.
Lunch.co,company,,,Stockholm,Stockholms Lan,Sweden,A marketplace platform where colleagues can buy and sell home cooked lunches at work
ETM Telecom,company,https://www.facebook.com/ETM-Telecom-114166100332755,https://www.linkedin.com/company/18770524,Paris,Ile-de-France,France,New generation of telecom company - providing VoIP services (IP Centrex) and much more to SME and Hotels.
M3i,company,,,,,,Music and games
MaRVis,company,,,,,,MedTech
Persona,company,,https://www.linkedin.com/company/personamedia/,Seoul,Seoul-t'ukpyolsi,South Korea,Persona brings the influential people to your business for social marketing.
Accessible Diagnostics,company,,https://www.linkedin.com/company/accessible-diagnotics/,Greenville,South Carolina,United States,Accessible Diagnostics provides medical diagnostic services.
ETT,company,,,Frisco,Texas,United States,ETT harnessed a portfolio of sector-disruptive companies that incorporate the value of collaborative innovation.
51haohuo.com,company,,,Beijing,Beijing,China,51haohuo.com provides legal compliance flexible employment solutions.
